,amm,id,rate,timestamp,underlyingPrice,date
3961,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x9d73b7617edd990f47a9331980894f5e35c58dd2e74e177301dad692f831e8e8-0,2.7841547365722e-05,1608454860,656.3301496186583,2020-12-20 09:01:00
3960,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xbbd488b300e52ed31e24d86c0f3df41b195975c47223f1d12df0bafa139a0382-0,5.0892241996126e-05,1608458700,657.0017312264473,2020-12-20 10:05:00
3959,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x72f038b82baee5f4e2109f00d0f5b3d6a69e59a05e02000de6879f231778d3a1-0,4.7938451654726e-05,1608462055,655.0975492960695,2020-12-20 11:00:55
3958,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x2540a22b5336864fd98d2003fa405cf742259911f5b2076607d48c28359f40be-0,9.1349136396154e-05,1608465660,652.1360614414945,2020-12-20 12:01:00
3957,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xaeefb89cca0c402b21ed44b2414e8129b2a891116288c7d20a4817b66f1ed5bd-0,1.8756900270193e-05,1608469260,649.4644154654527,2020-12-20 13:01:00
3956,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x07d036325e4cbdd0343c92acb93c413ab85a28d3ce0547449860d564a0f2a2ef-3,8.5768664405125e-05,1608472980,646.411658969136,2020-12-20 14:03:00
3955,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x91d567f63e961e219b91fb039aa29167ad4942bfeb595e7362233bbf396b7bb5-0,3.9471480338908e-05,1608476700,649.09919432275,2020-12-20 15:05:00
3954,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x8d53ea0fa221919a04f86e5a28abed00f51e384c253a751cfca237776a03db3f-0,0.000120558762819966,1608480415,651.1552145359611,2020-12-20 16:06:55
3953,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x5f9679673ebc1f843a340e62a9ca6e3a331f4482911af16be5f1230582321d50-0,4.800097053916e-05,1608483660,652.0766573496361,2020-12-20 17:01:00
3952,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x525c6d4d5427834a7bc9237eda64bdcb562b45fb53000fee48e1c4d23153fde3-0,1.746009996629e-06,1608487260,650.0504926721723,2020-12-20 18:01:00
3951,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x8c3bf279af1300eb801bacbd6a7e8e6b47684621ee20613d884ee7a5d3af86df-0,6.2116556408487e-05,1608490855,647.7244227775722,2020-12-20 19:00:55
3950,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xacf33e1ff1f7aae6102e96e1fa423d2acd5efeb303c838958c9f4f36dd11cd4b-0,1.9492727752416e-05,1608494455,649.7807758592417,2020-12-20 20:00:55
3949,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xe31025aa9e85e08bd2e94f64caa13a34db7f0295ad66117f86297ad9efd0d219-0,8.8447239780192e-05,1608498060,653.7050038615223,2020-12-20 21:01:00
3948,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x888d166bc697fefbc45365a53bf5e4a1b86077bf152945bb8aee6bd636f7c78d-17,-6.0987302178475e-05,1608501660,646.4477582491861,2020-12-20 22:01:00
3947,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xa823bb8ab1c83b64b9c96fb061babca283a0784a2b91789da8ec74cfacdde4dc-0,5.97163456078e-06,1608505260,633.5361010215778,2020-12-20 23:01:00
